day,conc,count,site,model,const,interval,format
8/23/1993,1.3,1,ID,interp,TSS,daily,conc
8/24/1993,1.3,1,ID,interp,TSS,daily,conc
8/25/1993,1.3,1,ID,interp,TSS,daily,conc
8/26/1993,1.3,1,ID,interp,TSS,daily,conc
8/27/1993,1.3,1,ID,interp,TSS,daily,conc
8/28/1993,1.3,1,ID,interp,TSS,daily,conc
8/29/1993,1.3,1,ID,interp,TSS,daily,conc
8/30/1993,1.3,1,ID,interp,TSS,daily,conc
8/31/1993,1.3,1,ID,interp,TSS,daily,conc
9/1/1993,1.3,1,ID,interp,TSS,daily,conc
9/2/1993,1.3,1,ID,interp,TSS,daily,conc
9/3/1993,1.3,1,ID,interp,TSS,daily,conc
9/4/1993,1.3,1,ID,interp,TSS,daily,conc
9/5/1993,1.3,1,ID,interp,TSS,daily,conc
9/6/1993,1.3,1,ID,interp,TSS,daily,conc
9/7/1993,1.3,1,ID,interp,TSS,daily,conc
9/8/1993,1.3,1,ID,interp,TSS,daily,conc
9/9/1993,1.3,1,ID,interp,TSS,daily,conc
9/10/1993,1.3,1,ID,interp,TSS,daily,conc
9/11/1993,1.3,1,ID,interp,TSS,daily,conc
9/12/1993,1.3,1,ID,interp,TSS,daily,conc
9/13/1993,1.3,1,ID,interp,TSS,daily,conc
9/14/1993,1.3,1,ID,interp,TSS,daily,conc
9/15/1993,1.3,1,ID,interp,TSS,daily,conc
9/16/1993,1.3,1,ID,interp,TSS,daily,conc
9/17/1993,1.3,1,ID,interp,TSS,daily,conc
9/18/1993,1.3,1,ID,interp,TSS,daily,conc
9/19/1993,1.3,1,ID,interp,TSS,daily,conc
9/20/1993,1.3,1,ID,interp,TSS,daily,conc
9/21/1993,1.3,1,ID,interp,TSS,daily,conc
9/22/1993,1.3,1,ID,interp,TSS,daily,conc
9/23/1993,1.3,1,ID,interp,TSS,daily,conc
9/24/1993,1.3,1,ID,interp,TSS,daily,conc
9/25/1993,1.3,1,ID,interp,TSS,daily,conc
9/26/1993,1.3,1,ID,interp,TSS,daily,conc
9/27/1993,1.3,1,ID,interp,TSS,daily,conc
9/28/1993,1.3,1,ID,interp,TSS,daily,conc
9/29/1993,1.3,1,ID,interp,TSS,daily,conc
9/30/1993,1.3,1,ID,interp,TSS,daily,conc
10/1/1993,1.3,1,ID,interp,TSS,daily,conc
10/2/1993,1.3,1,ID,interp,TSS,daily,conc
10/3/1993,1.3,1,ID,interp,TSS,daily,conc
10/4/1993,1.3,1,ID,interp,TSS,daily,conc
10/5/1993,1.6,1,ID,interp,TSS,daily,conc
10/6/1993,1.6,1,ID,interp,TSS,daily,conc
10/7/1993,1.6,1,ID,interp,TSS,daily,conc
10/8/1993,1.6,1,ID,interp,TSS,daily,conc
10/9/1993,1.6,1,ID,interp,TSS,daily,conc
10/10/1993,1.6,1,ID,interp,TSS,daily,conc
10/11/1993,1.6,1,ID,interp,TSS,daily,conc
10/12/1993,1.6,1,ID,interp,TSS,daily,conc
10/13/1993,1.6,1,ID,interp,TSS,daily,conc
10/14/1993,1.6,1,ID,interp,TSS,daily,conc
10/15/1993,1.6,1,ID,interp,TSS,daily,conc
10/16/1993,1.6,1,ID,interp,TSS,daily,conc
10/17/1993,1.6,1,ID,interp,TSS,daily,conc
10/18/1993,1.6,1,ID,interp,TSS,daily,conc
10/19/1993,1.6,1,ID,interp,TSS,daily,conc
10/20/1993,1.6,1,ID,interp,TSS,daily,conc
10/21/1993,1.6,1,ID,interp,TSS,daily,conc
10/22/1993,1.6,1,ID,interp,TSS,daily,conc
10/23/1993,1.6,1,ID,interp,TSS,daily,conc
10/24/1993,1.6,1,ID,interp,TSS,daily,conc
10/25/1993,1.6,1,ID,interp,TSS,daily,conc
10/26/1993,1.6,1,ID,interp,TSS,daily,conc
10/27/1993,1.6,1,ID,interp,TSS,daily,conc
10/28/1993,1.6,1,ID,interp,TSS,daily,conc
10/29/1993,1.6,1,ID,interp,TSS,daily,conc
10/30/1993,1.6,1,ID,interp,TSS,daily,conc
10/31/1993,1.6,1,ID,interp,TSS,daily,conc
11/1/1993,1.6,1,ID,interp,TSS,daily,conc
11/2/1993,1.6,1,ID,interp,TSS,daily,conc
11/3/1993,1.6,1,ID,interp,TSS,daily,conc
11/4/1993,1.6,1,ID,interp,TSS,daily,conc
11/5/1993,1.6,1,ID,interp,TSS,daily,conc
11/6/1993,1.8,1,ID,interp,TSS,daily,conc
11/7/1993,1.8,1,ID,interp,TSS,daily,conc
11/8/1993,1.8,1,ID,interp,TSS,daily,conc
11/9/1993,1.8,1,ID,interp,TSS,daily,conc
11/10/1993,1.8,1,ID,interp,TSS,daily,conc
11/11/1993,1.8,1,ID,interp,TSS,daily,conc
11/12/1993,1.8,1,ID,interp,TSS,daily,conc
11/13/1993,1.8,1,ID,interp,TSS,daily,conc
11/14/1993,1.8,1,ID,interp,TSS,daily,conc
11/15/1993,1.8,1,ID,interp,TSS,daily,conc
11/16/1993,1.8,1,ID,interp,TSS,daily,conc
11/17/1993,1.8,1,ID,interp,TSS,daily,conc
11/18/1993,1.8,1,ID,interp,TSS,daily,conc
11/19/1993,1.8,1,ID,interp,TSS,daily,conc
11/20/1993,1.8,1,ID,interp,TSS,daily,conc
11/21/1993,1.8,1,ID,interp,TSS,daily,conc
11/22/1993,1.8,1,ID,interp,TSS,daily,conc
